,car_type,price_per_day,mileage,pickupdate,pickuptime,dropoffdate,dropofftime
0,VW UP!,"25,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
1,VW POLO,"25,99 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
2,OPEL CROSSLAND X,"28,32 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
3,SEAT LEON,"28,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
4,VW GOLF,"29,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
5,SKODA OCTAVIA COMBI,"30,33 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
6,VW GOLF AUT.,"31,32 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
7,BMW 1ER,"31,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
8,SKODA OCTAVIA COMBI AUT.,"31,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
9,VW PASSAT,"32,00 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
10,VW TOURAN,"32,00 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
11,FORD MONDEO KOMBI,"32,33 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
12,VW TIGUAN,"32,66 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
13,AUDI A3 LIMOUSINE,"33,33 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
14,VW PASSAT AUT.,"33,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
15,BMW 1ER AUT.,"33,99 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
16,FORD S-MAX TURNIER,"33,99 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
17,FORD MONDEO KOMBI AUT.,"34,00 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
18,BMW 2ER COUPÉ,"34,32 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
19,BMW X1,"34,66 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
20,AUDI A4,"35,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
21,BMW 3ER TOURING,"36,32 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
22,AUDI A4 AUT.,"37,99 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
23,AUDI A4 AVANT AUT.,"38,66 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
24,MERCEDES-BENZ E200/220 AUT.,"41,98 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
25,AUDI A5 40 COUPÉ/SPORTBACK,"42,98 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
26,MERCEDES-BENZ E200/220 T-MODELL AUT.,"43,65 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
27,AUDI A6 45/50 AUT.,"44,31 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
28,BMW 530/540 TOURING AUT.,"44,32 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
29,BMW X3 20,"44,33 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
30,VW SHARAN,"46,98 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
31,BMW 430/435 COUPÉ,"46,99 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
32,BMW X4 30,"48,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
33,BMW M135I,"50,32 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
34,VW SHARAN AUT.,"51,65 ",inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00
35,AUDI TTS COUPÉ,"52,32 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
36,BMW M340,"56,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
37,BMW M340 TOURING,"56,65 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
38,BMW X3 M40,"66,31 ",inkl. 750 km,18. Dez,14:00,21. Dez,12:00
