,car_type,price_per_day,mileage,pickupdate,pickuptime,dropoffdate,dropofftime,bookingclass
0,VW UP!,25.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,MCMN
1,VW POLO,25.99,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,ECMR
2,OPEL CROSSLAND X,28.32,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CCMR
3,SEAT LEON,28.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CDMR
4,VW GOLF,29.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CLMR
5,SKODA OCTAVIA COMBI,30.33,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CWMR
6,VW GOLF AUT.,31.32,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CLAR
7,BMW 1ER,31.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CPMR
8,SKODA OCTAVIA COMBI AUT.,31.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CWAR
9,VW PASSAT,32.00,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,ILMR
10,VW TOURAN,32.00,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,IVMR
11,FORD MONDEO KOMBI,32.33,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,IWMR
12,VW TIGUAN,32.66,inkl. 750 km,18. Dez,14:00,21. Dez,12:00,IFMR
13,AUDI A3 LIMOUSINE,33.33,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,SDMR
14,VW PASSAT AUT.,33.66,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,ILAR
15,BMW 1ER AUT.,33.99,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,CPAR
16,FORD S-MAX TURNIER,33.99,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,SWMR
17,FORD MONDEO KOMBI AUT.,34.00,inkl. unbegrenzt km,18. Dez,14:00,21. Dez,12:00,IWAR
18,BMW 2ER COUPÉ,34.32,inkl. 750 km,18. Dez,14:00,21. Dez,12:00,SSMR
19,BMW X1,34.66,inkl. 750 km,18. Dez,14:00,21. Dez,12:00,SFMR
